Date,Flight Number,Destination,Delay,Month
6/1/15,1714,SEA,-1,June
6/1/15,1717,ORD,29,June
6/1/15,1720,IAD,21,June
6/1/15,1721,KOA,16,June
6/1/15,1723,KOA,-3,June
6/1/15,1725,OGG,-8,June
6/1/15,1727,IAD,0,June
6/1/15,1728,ATL,26,June
6/1/15,1748,AUS,-3,June
6/1/15,1753,MCO,18,June
6/1/15,1754,EWR,3,June
6/1/15,1756,BOS,-8,June
6/1/15,1760,IAD,3,June
6/1/15,1900,SAN,3,June
6/1/15,1911,AUS,-3,June
6/1/15,1912,SNA,7,June
6/1/15,1922,EWR,-1,June
6/1/15,1925,IAD,59,June
6/2/15,73,HNL,0,June
6/2/15,217,EWR,6,June
6/2/15,237,STL,20,June
6/2/15,250,SAN,13,June
6/2/15,267,PHL,-4,June
6/2/15,273,SEA,42,June
6/2/15,292,EWR,262,June
6/2/15,300,HNL,7,June
6/2/15,317,IND,312,June
6/2/15,318,DEN,1,June
6/2/15,322,SEA,-4,June
6/2/15,331,DEN,-9,June
6/2/15,355,IAD,-3,June
6/2/15,358,LAS,-8,June
6/2/15,388,ORD,-4,June
6/2/15,392,LAS,0,June
6/2/15,400,IAD,29,June
6/2/15,408,IAD,-2,June
6/2/15,433,LAX,-5,June
6/2/15,434,LAS,-8,June
6/2/15,437,LAS,-5,June
6/2/15,444,BOS,-7,June
6/2/15,464,PDX,-3,June
6/2/15,468,IAH,-4,June
6/2/15,477,ORD,15,June
6/2/15,478,LAX,16,June
6/2/15,480,PIT,2,June
6/2/15,498,SAN,-4,June
6/2/15,502,JFK,0,June
6/2/15,516,IAD,0,June
6/2/15,525,LAX,73,June
6/2/15,560,SEA,187,June
6/2/15,568,EWR,74,June
6/2/15,577,EWR,16,June
6/2/15,595,PDX,24,June
6/2/15,616,ORD,60,June
6/2/15,624,ORD,-3,June
6/2/15,637,JFK,202,June
6/2/15,650,AUS,3,June
6/2/15,662,MSP,68,June
6/2/15,671,DEN,99,June
6/2/15,680,ORD,5,June
6/2/15,698,ORD,32,June
6/2/15,704,JFK,-11,June
6/2/15,705,ORD,0,June
6/2/15,714,LAS,34,June
6/2/15,715,PHX,14,June
6/2/15,718,SAN,-2,June
6/2/15,720,DEN,-2,June
6/2/15,721,DFW,-7,June
6/2/15,728,ORD,7,June
6/2/15,753,LAS,16,June
6/2/15,756,DEN,-2,June
6/2/15,758,JFK,26,June
6/2/15,760,JFK,-2,June
6/2/15,768,BOS,94,June
6/2/15,769,LAX,12,June
6/2/15,794,LIH,0,June
6/2/15,814,LAX,18,June
6/2/15,824,JFK,73,June
6/2/15,898,JFK,37,June
6/2/15,995,ORD,-8,June
6/2/15,1002,LAX,5,June
6/2/15,1029,LAS,17,June
6/2/15,1038,IAH,-6,June
6/2/15,1057,DEN,8,June
6/2/15,1074,ORD,7,June
6/2/15,1076,IAD,43,June
6/2/15,1083,LAX,9,June
6/2/15,1106,MCO,0,June
6/2/15,1118,EWR,4,June
6/2/15,1120,IAH,28,June
6/2/15,1124,LAS,-6,June
6/2/15,1130,LAX,-1,June
6/2/15,1131,EWR,0,June
6/2/15,1132,DFW,-7,June
6/2/15,1135,RDU,8,June
6/2/15,1138,MSY,95,June
6/2/15,1149,EWR,4,June
6/2/15,1156,EWR,58,June
6/2/15,1171,DEN,12,June
6/2/15,1175,HNL,25,June
6/2/15,1185,EWR,59,June
6/2/15,1192,LAX,-5,June
6/2/15,1195,IAH,1,June
6/2/15,1197,IAH,-1,June
6/2/15,1199,MCO,-3,June
6/2/15,1204,SEA,11,June
6/2/15,1226,SNA,-10,June
6/2/15,1250,IAH,0,June
6/2/15,1257,ANC,185,June
6/2/15,1266,EWR,13,June
6/2/15,1267,SAN,62,June
6/2/15,1268,IAD,1,June
6/2/15,1273,OGG,2,June
6/2/15,1291,BOS,3,June
6/2/15,1415,IAH,5,June
6/2/15,1422,PHL,4,June
6/2/15,1440,BOS,32,June
6/2/15,1455,SAN,18,June
6/2/15,1457,IAH,76,June
6/2/15,1474,DEN,22,June
6/2/15,1504,PDX,1,June
6/2/15,1511,PHX,33,June
6/2/15,1523,EWR,36,June
6/2/15,1526,CLE,19,June
6/2/15,1531,RDU,58,June
6/2/15,1534,SEA,1,June
6/2/15,1558,IAD,41,June
6/2/15,1563,BWI,-2,June
6/2/15,1568,FLL,2,June
6/2/15,1581,OGG,0,June
6/2/15,1583,EWR,0,June
6/2/15,1589,IAH,4,June
6/2/15,1591,LAX,-8,June
6/2/15,1601,DEN,13,June
6/2/15,1602,ATL,7,June
6/2/15,1614,SAN,58,June
6/2/15,1616,SEA,81,June
6/2/15,1634,BOS,0,June
6/2/15,1637,SEA,-2,June
6/2/15,1645,IAD,45,June
6/2/15,1662,BOS,9,June
6/2/15,1668,ORD,-2,June
6/2/15,1670,HNL,186,June
6/2/15,1673,ORD,6,June
6/2/15,1681,CLE,-9,June
6/2/15,1686,DCA,0,June
6/2/15,1709,ORD,71,June
6/2/15,1710,LAX,28,June
6/2/15,1714,SEA,-1,June
6/2/15,1717,ORD,45,June
6/2/15,1721,KOA,-1,June
6/2/15,1723,KOA,2,June
6/2/15,1725,OGG,202,June
6/2/15,1727,IAD,-6,June
6/2/15,1728,ATL,58,June
6/2/15,1748,AUS,4,June
6/2/15,1753,MCO,-1,June
6/2/15,1754,EWR,1,June
6/2/15,1756,BOS,17,June
6/2/15,1900,SAN,-4,June
6/2/15,1911,AUS,16,June
6/2/15,1912,SNA,25,June
6/2/15,1922,EWR,-6,June
6/2/15,1925,IAD,5,June
6/3/15,73,HNL,354,June
6/3/15,217,EWR,-6,June
6/3/15,237,STL,-4,June
6/3/15,250,SAN,41,June
6/3/15,267,PHL,-6,June
6/3/15,273,SEA,-5,June
6/3/15,292,EWR,91,June
6/3/15,300,HNL,2,June
6/3/15,317,IND,25,June
6/3/15,318,DEN,7,June
6/3/15,322,SEA,-6,June
6/3/15,331,DEN,65,June
6/3/15,355,IAD,-2,June
6/3/15,362,BOS,11,June
6/3/15,388,ORD,-1,June
6/3/15,392,LAS,-3,June
6/3/15,408,IAD,2,June
6/3/15,433,LAX,318,June
6/3/15,434,LAS,101,June
6/3/15,437,LAS,-9,June
6/3/15,464,PDX,-2,June
6/3/15,477,ORD,-4,June
6/3/15,478,LAX,-9,June
6/3/15,480,PIT,47,June
6/3/15,502,JFK,-1,June
6/3/15,516,IAD,-7,June
6/3/15,522,PDX,50,June
6/3/15,525,LAX,-7,June
6/3/15,560,SEA,-9,June
6/3/15,568,EWR,-3,June
6/3/15,577,EWR,-1,June
6/3/15,595,PDX,-5,June
6/3/15,616,ORD,29,June
6/3/15,624,ORD,3,June
6/3/15,637,JFK,11,June
6/3/15,650,AUS,0,June
6/3/15,662,MSP,-3,June
6/3/15,671,DEN,4,June
6/3/15,680,ORD,0,June
6/3/15,698,ORD,6,June
6/3/15,704,JFK,6,June
6/3/15,705,ORD,55,June
6/3/15,715,PHX,-4,June
6/3/15,718,SAN,2,June
6/3/15,720,DEN,0,June
6/3/15,721,DFW,154,June
6/3/15,727,IAD,7,June
6/3/15,728,ORD,-1,June
6/3/15,753,LAS,0,June
6/3/15,756,DEN,-9,June
6/3/15,758,JFK,-6,June
6/3/15,760,JFK,-3,June
6/3/15,768,BOS,-3,June
6/3/15,769,LAX,-2,June
6/3/15,794,LIH,18,June
6/3/15,806,ORD,-9,June
6/3/15,814,LAX,3,June
6/3/15,824,JFK,0,June
6/3/15,887,LAX,-5,June
6/3/15,898,JFK,38,June
6/3/15,995,ORD,-3,June
6/3/15,1002,LAX,2,June
6/3/15,1029,LAS,12,June
6/3/15,1038,IAH,15,June
6/3/15,1057,DEN,-2,June
6/3/15,1073,BOS,-8,June
6/3/15,1074,ORD,35,June
6/3/15,1076,IAD,9,June
6/3/15,1083,LAX,25,June
6/3/15,1106,MCO,1,June
6/3/15,1118,EWR,21,June
6/3/15,1120,IAH,-2,June
6/3/15,1124,LAS,-4,June
6/3/15,1130,LAX,-8,June
6/3/15,1131,EWR,8,June
6/3/15,1132,DFW,14,June
6/3/15,1135,RDU,-7,June
6/3/15,1138,MSY,6,June
6/3/15,1156,EWR,73,June
6/3/15,1171,DEN,18,June
6/3/15,1175,HNL,10,June
6/3/15,1185,EWR,-3,June
6/3/15,1192,LAX,1,June
6/3/15,1195,IAH,4,June
6/3/15,1197,IAH,-3,June
6/3/15,1199,MCO,3,June
6/3/15,1204,SEA,-3,June
6/3/15,1226,SNA,-6,June
6/3/15,1236,LAS,-3,June
6/3/15,1250,IAH,1,June
6/3/15,1257,ANC,-3,June
6/3/15,1266,EWR,-3,June
6/3/15,1267,SAN,-6,June
6/3/15,1268,LAS,0,June
6/3/15,1273,OGG,-6,June
6/3/15,1291,BOS,1,June
6/3/15,1402,SAN,2,June
6/3/15,1405,LAS,-3,June
6/3/15,1415,IAH,54,June
6/3/15,1422,PHL,5,June
6/3/15,1440,BOS,7,June
6/3/15,1453,IAH,5,June
6/3/15,1455,SAN,-7,June
6/3/15,1457,IAH,-4,June
6/3/15,1474,DEN,-5,June
6/3/15,1511,PHX,-3,June
6/3/15,1523,EWR,4,June
6/3/15,1526,CLE,2,June
6/3/15,1531,RDU,-5,June
6/3/15,1534,SEA,1,June
6/3/15,1550,IAD,4,June
6/3/15,1562,ORD,-1,June
6/3/15,1563,BWI,19,June
6/3/15,1568,FLL,-1,June
6/3/15,1581,OGG,13,June
6/3/15,1583,EWR,9,June
6/3/15,1591,LAX,-3,June
6/3/15,1601,DEN,2,June
6/3/15,1602,ATL,29,June
6/3/15,1614,SAN,-6,June
6/3/15,1616,SEA,0,June
6/3/15,1634,BOS,10,June
6/3/15,1637,SEA,-3,June
6/3/15,1645,IAD,-1,June
6/3/15,1662,BOS,-2,June
6/3/15,1668,ORD,23,June
6/3/15,1670,HNL,2,June
6/3/15,1681,CLE,0,June
6/3/15,1686,DCA,-4,June
6/3/15,1709,ORD,4,June
6/3/15,1710,LAX,62,June
6/3/15,1711,IAH,6,June
6/3/15,1714,SEA,6,June
6/3/15,1717,ORD,-1,June
6/3/15,1721,KOA,46,June
6/3/15,1723,KOA,11,June
6/3/15,1725,OGG,8,June
6/3/15,1728,ATL,56,June
6/3/15,1748,AUS,-4,June
6/3/15,1753,MCO,10,June
6/3/15,1754,EWR,2,June
6/3/15,1760,IAD,22,June
6/3/15,1900,SAN,-3,June
6/3/15,1911,AUS,10,June
6/3/15,1912,SNA,5,June
6/3/15,1922,EWR,144,June
6/3/15,1925,IAD,8,June
6/4/15,3,SAN,26,June
6/4/15,72,LAS,19,June
6/4/15,73,HNL,64,June
6/4/15,209,LAX,-1,June
6/4/15,222,LAX,-4,June
6/4/15,230,AUS,2,June
6/4/15,255,DEN,13,June
6/4/15,256,AUS,48,June
6/4/15,267,PHL,2,June
6/4/15,273,SEA,4,June
6/4/15,294,STL,-1,June
6/4/15,300,HNL,21,June
6/4/15,309,IAD,5,June
6/4/15,311,PHX,-4,June
6/4/15,318,DEN,32,June
6/4/15,322,SEA,55,June
6/4/15,325,BOS,-2,June
6/4/15,331,DEN,-2,June
6/4/15,351,SEA,18,June
6/4/15,354,IAH,0,June
6/4/15,358,PDX,62,June
6/4/15,361,LIH,2,June
6/4/15,362,ORD,10,June
6/4/15,392,LAS,-4,June
6/4/15,394,LAS,111,June
6/4/15,408,IAD,6,June
6/4/15,427,OGG,-2,June
6/4/15,444,BOS,45,June
6/4/15,455,BOS,-2,June
6/4/15,464,PDX,20,June
6/4/15,468,PHX,55,June
6/4/15,477,ORD,30,June
6/4/15,480,PIT,20,June
6/4/15,500,ORD,9,June
6/4/15,502,JFK,-5,June
6/4/15,560,DFW,73,June
6/4/15,568,EWR,-3,June
6/4/15,577,EWR,2,June
6/4/15,595,PDX,5,June
6/4/15,611,SEA,-2,June
6/4/15,620,ORD,-4,June
6/4/15,624,ORD,68,June
6/4/15,637,JFK,-4,June
6/4/15,653,EWR,-1,June
6/4/15,663,HNL,-1,June
6/4/15,671,DEN,34,June
6/4/15,698,MCO,-2,June
6/4/15,704,JFK,15,June
6/4/15,708,IAH,-8,June
6/4/15,718,IAH,0,June
6/4/15,721,EWR,-13,June
6/4/15,727,IAD,-6,June
6/4/15,728,ORD,16,June
6/4/15,734,ORD,0,June
6/4/15,736,EWR,54,June
6/4/15,751,SEA,18,June
6/4/15,754,ORD,-7,June
6/4/15,758,JFK,-5,June
6/4/15,759,EWR,-5,June
6/4/15,760,JFK,-3,June
6/4/15,816,LAX,-2,June
6/4/15,824,JFK,3,June
6/4/15,864,BOS,-7,June
6/4/15,898,JFK,3,June
6/4/15,1002,LAX,-1,June
6/4/15,1060,IAH,0,June
6/4/15,1062,MSP,59,June
6/4/15,1073,BOS,27,June
6/4/15,1074,ORD,2,June
6/4/15,1076,LAX,18,June
6/4/15,1087,BWI,25,June
6/4/15,1106,MCO,3,June
6/4/15,1111,EWR,-1,June
6/4/15,1118,PDX,21,June
6/4/15,1120,IAH,12,June
6/4/15,1122,HNL,16,June
6/4/15,1132,DFW,3,June
6/4/15,1135,RDU,-4,June
6/4/15,1143,DEN,-6,June
6/4/15,1149,IAD,342,June
6/4/15,1156,EWR,2,June
6/4/15,1159,ORD,1,June
6/4/15,1171,EWR,-2,June
6/4/15,1174,PDX,31,June
6/4/15,1187,EWR,19,June
6/4/15,1197,IAH,4,June
6/4/15,1199,SEA,-3,June
6/4/15,1204,SEA,1,June
6/4/15,1215,DEN,28,June
6/4/15,1240,SNA,-4,June
6/4/15,1247,SAN,-2,June
6/4/15,1250,IAH,10,June
6/4/15,1257,ANC,7,June
6/4/15,1273,OGG,23,June
6/4/15,1401,SAN,13,June
6/4/15,1415,ORD,15,June
6/4/15,1440,IAD,-7,June
6/4/15,1449,LAS,-5,June
6/4/15,1453,SEA,0,June
6/4/15,1456,EWR,5,June
6/4/15,1460,EWR,15,June
6/4/15,1474,DEN,-2,June
6/4/15,1526,DEN,9,June
6/4/15,1531,RDU,-2,June
6/4/15,1534,SEA,-7,June
6/4/15,1563,ORD,0,June
6/4/15,1564,LAS,170,June
6/4/15,1579,LAX,4,June
6/4/15,1581,OGG,5,June
6/4/15,1583,EWR,-2,June
6/4/15,1600,IAD,10,June
6/4/15,1602,ATL,34,June
6/4/15,1606,ORD,16,June
6/4/15,1608,EWR,108,June
6/4/15,1614,LAS,-1,June
6/4/15,1616,SEA,1,June
6/4/15,1635,DEN,62,June
6/4/15,1645,IAD,-5,June
6/4/15,1662,BOS,25,June
6/4/15,1668,ORD,4,June
6/4/15,1670,HNL,0,June
6/4/15,1671,SAN,3,June
6/4/15,1673,IAD,37,June
6/4/15,1681,CLE,10,June
6/4/15,1684,LIH,57,June
6/4/15,1686,DCA,26,June
6/4/15,1692,EWR,-10,June
6/4/15,1717,ORD,10,June
6/4/15,1721,KOA,4,June
6/4/15,1723,KOA,-2,June
6/4/15,1725,OGG,-3,June
6/4/15,1727,IND,-1,June
6/4/15,1728,ATL,30,June
6/4/15,1742,LAS,5,June
6/4/15,1743,LAX,408,June
6/4/15,1748,AUS,117,June
6/4/15,1751,LAS,11,June
6/4/15,1753,MCO,18,June
6/4/15,1756,LAX,0,June
6/4/15,1900,SAN,2,June
6/4/15,1912,SNA,-4,June
6/4/15,1914,IAH,-4,June
6/4/15,1925,IAD,13,June
6/4/15,1927,IAH,8,June
6/4/15,1928,ORD,0,June
6/4/15,1939,IAD,9,June
6/4/15,1942,SAN,97,June
6/4/15,1946,BOS,12,June
6/4/15,1947,PHL,29,June
6/4/15,1950,CLE,23,June
6/4/15,1957,LAX,-1,June
6/4/15,1958,IAH,5,June
6/4/15,1960,LAX,17,June
6/4/15,1964,SEA,0,June
6/4/15,1975,FLL,22,June
6/4/15,1983,BOS,-6,June
6/4/15,2000,PHX,-3,June
6/5/15,3,SAN,0,June
6/5/15,72,EWR,55,June
6/5/15,73,HNL,0,June
6/5/15,209,LAX,35,June
6/5/15,222,LAX,10,June
6/5/15,230,AUS,25,June
6/5/15,255,DEN,-6,June
6/5/15,256,AUS,9,June
6/5/15,267,PHL,6,June
6/5/15,273,SEA,-9,June
6/5/15,294,STL,3,June
6/5/15,300,HNL,14,June
6/5/15,309,IAD,13,June
6/5/15,311,PHX,2,June
6/5/15,318,DEN,67,June
6/5/15,322,SEA,-9,June
6/5/15,331,DEN,35,June
6/5/15,349,EWR,-3,June
6/5/15,351,SEA,-1,June
6/5/15,354,IAH,-6,June
6/5/15,358,PDX,158,June
6/5/15,361,LIH,-6,June
6/5/15,390,ORD,27,June
6/5/15,392,LAS,-5,June
6/5/15,394,LAS,104,June
6/5/15,408,IAD,-2,June
6/5/15,427,OGG,56,June
6/5/15,444,BOS,15,June
6/5/15,455,BOS,-3,June
6/5/15,464,PDX,-3,June
6/5/15,468,PHX,-8,June
6/5/15,477,ORD,6,June
6/5/15,480,PIT,85,June
6/5/15,489,ORD,16,June
6/5/15,500,ORD,16,June
6/5/15,502,JFK,29,June
6/5/15,522,PDX,14,June
6/5/15,560,DFW,-2,June
6/5/15,568,EWR,-1,June
6/5/15,577,EWR,-2,June
6/5/15,587,SNA,13,June
6/5/15,595,PDX,-9,June
6/5/15,611,SEA,65,June
6/5/15,620,ORD,-4,June
6/5/15,624,ORD,0,June
6/5/15,637,JFK,56,June
6/5/15,663,HNL,16,June
6/5/15,671,DEN,62,June
6/5/15,698,MCO,27,June
6/5/15,704,JFK,4,June
6/5/15,718,IAH,-2,June
6/5/15,724,CLE,-6,June
6/5/15,727,IAD,10,June
6/5/15,728,ORD,0,June
6/5/15,734,ORD,-5,June
6/5/15,736,EWR,19,June
6/5/15,758,JFK,19,June
6/5/15,759,SEA,7,June
6/5/15,760,JFK,-5,June
6/5/15,816,LAX,6,June
6/5/15,824,JFK,-2,June
6/5/15,864,BOS,9,June
6/5/15,868,SEA,7,June
6/5/15,898,JFK,0,June
6/5/15,995,ORD,5,June
6/5/15,1002,LAX,20,June
6/5/15,1004,LAX,55,June
6/5/15,1060,IAH,-3,June
6/5/15,1062,MSP,45,June
6/5/15,1073,BOS,23,June
6/5/15,1074,ORD,5,June
6/5/15,1076,BOS,2,June
6/5/15,1087,BWI,7,June
6/5/15,1106,MCO,5,June
6/5/15,1111,EWR,7,June
6/5/15,1118,EWR,47,June
6/5/15,1120,IAH,25,June
6/5/15,1122,HNL,29,June
6/5/15,1124,LAS,8,June
6/5/15,1132,DFW,1,June
6/5/15,1135,RDU,2,June
6/5/15,1143,DEN,22,June
6/5/15,1149,IAD,-3,June
6/5/15,1156,EWR,41,June
6/5/15,1159,ORD,77,June
6/5/15,1174,PDX,3,June
6/5/15,1185,EWR,53,June
6/5/15,1187,EWR,-1,June
6/5/15,1197,IAH,21,June
6/5/15,1199,SEA,27,June
6/5/15,1204,SEA,-7,June
6/5/15,1215,DEN,6,June
6/5/15,1216,IAH,9,June
6/5/15,1247,SAN,-4,June
6/5/15,1250,IAH,17,June
6/5/15,1257,ANC,2,June
6/5/15,1263,ORD,45,June
6/5/15,1273,OGG,41,June
6/5/15,1401,SAN,23,June
6/5/15,1440,IAD,4,June
6/5/15,1449,LAS,-5,June
6/5/15,1453,SEA,29,June
6/5/15,1456,EWR,39,June
6/5/15,1460,EWR,16,June
6/5/15,1469,BOS,6,June
6/5/15,1474,DEN,0,June
6/5/15,1526,DEN,13,June
6/5/15,1531,RDU,0,June
6/5/15,1534,SEA,20,June
6/5/15,1563,ORD,1,June
6/5/15,1564,LAS,36,June
6/5/15,1579,LAX,11,June
6/5/15,1581,OGG,24,June
6/5/15,1583,EWR,133,June
6/5/15,1600,IAD,8,June
6/5/15,1602,ATL,1,June
6/5/15,1606,ORD,36,June
6/5/15,1608,EWR,-6,June
6/5/15,1614,LAS,1,June
6/5/15,1635,DEN,25,June
6/5/15,1645,IAD,-6,June
6/5/15,1662,BOS,68,June
6/5/15,1668,ORD,68,June
6/5/15,1670,HNL,52,June
6/5/15,1671,SAN,23,June
6/5/15,1673,IAD,51,June
6/5/15,1681,IAD,4,June
6/5/15,1683,EWR,46,June
6/5/15,1684,LIH,52,June
6/5/15,1686,DCA,129,June
6/5/15,1710,LAX,9,June
6/5/15,1721,KOA,-9,June
6/5/15,1723,KOA,10,June
6/5/15,1725,OGG,4,June
6/5/15,1727,IND,20,June
6/5/15,1728,ATL,0,June
6/5/15,1742,LAS,15,June
6/5/15,1743,LAX,-1,June
6/5/15,1748,AUS,-2,June
6/5/15,1751,LAS,46,June
6/5/15,1753,MCO,250,June
6/5/15,1754,EWR,31,June
6/5/15,1756,LAX,-4,June
6/5/15,1900,SAN,3,June
6/5/15,1912,SNA,68,June
6/5/15,1914,IAH,55,June
6/5/15,1925,IAD,20,June
6/5/15,1927,IAH,37,June
6/5/15,1928,ORD,14,June
6/5/15,1937,IAH,155,June
6/5/15,1939,IAD,-3,June
6/5/15,1942,SAN,2,June
6/5/15,1946,BOS,-2,June
6/5/15,1947,PHL,-2,June
6/5/15,1950,CLE,50,June
6/5/15,1960,LAX,0,June
6/5/15,1964,SEA,1,June
6/5/15,1975,FLL,13,June
6/5/15,2000,PHX,1,June
6/6/15,72,SEA,-5,June
6/6/15,73,HNL,39,June
6/6/15,267,MCO,-1,June
6/6/15,273,SEA,2,June
6/6/15,300,HNL,63,June
6/6/15,302,DEN,5,June
6/6/15,311,PHX,1,June
6/6/15,317,IND,-1,June
6/6/15,322,SEA,-1,June
6/6/15,325,BOS,35,June
6/6/15,331,DEN,-2,June
6/6/15,351,SEA,-8,June
6/6/15,358,PDX,-2,June
6/6/15,361,LIH,-8,June
6/6/15,364,PDX,17,June
6/6/15,379,IAH,11,June
6/6/15,390,ORD,-3,June
6/6/15,408,IAD,5,June
6/6/15,427,OGG,183,June
6/6/15,444,BOS,-3,June
6/6/15,464,PDX,-6,June
6/6/15,486,IAD,31,June
6/6/15,489,ORD,20,June
6/6/15,498,SAN,0,June
6/6/15,499,IAH,3,June
6/6/15,500,ORD,-1,June
6/6/15,522,PDX,-6,June
6/6/15,523,SAN,-3,June
6/6/15,525,IAD,-16,June
6/6/15,549,SAN,-4,June
6/6/15,569,IAH,-5,June
6/6/15,570,LAX,0,June
6/6/15,577,EWR,42,June
6/6/15,587,SNA,-12,June
6/6/15,595,PDX,-3,June
6/6/15,617,DEN,6,June
6/6/15,637,JFK,33,June
6/6/15,653,LAX,-5,June
6/6/15,655,LAX,-5,June
6/6/15,663,HNL,0,June
6/6/15,701,AUS,-4,June
6/6/15,707,SNA,9,June
6/6/15,720,DEN,-4,June
6/6/15,728,ORD,-3,June
6/6/15,734,ORD,-1,June
6/6/15,740,DEN,0,June
6/6/15,748,DFW,-7,June
6/6/15,758,JFK,-8,June
6/6/15,759,RDU,-4,June
6/6/15,760,JFK,18,June
6/6/15,816,LAX,15,June
6/6/15,824,JFK,1,June
6/6/15,825,LAX,1,June
6/6/15,1073,BOS,-2,June
6/6/15,1074,ORD,5,June
6/6/15,1076,IAD,-2,June
6/6/15,1082,EWR,0,June
6/6/15,1087,BWI,2,June
6/6/15,1089,BOS,20,June
6/6/15,1118,EWR,3,June
6/6/15,1121,PHL,163,June
6/6/15,1122,HNL,5,June
6/6/15,1135,RDU,-3,June
6/6/15,1159,LAX,-4,June
6/6/15,1173,HNL,1,June
6/6/15,1192,LAX,-4,June
